"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2022","17.849","20.500","20.850","17.400","1.02M","-10.39%"
"07/01/2022","19.918","19.880","20.350","18.010","843.34K","-2.13%"
"06/01/2022","20.352","21.540","22.525","19.295","970.34K","-6.37%"
"05/01/2022","21.737","22.785","23.345","20.420","870.48K","-6.23%"
"04/01/2022","23.181","24.750","26.195","22.710","826.23K","-7.86%"
"03/01/2022","25.158","24.455","27.495","24.045","1.07M","3.25%"
"02/01/2022","24.366","22.750","25.670","21.985","930.34K","8.68%"
"01/01/2022","22.419","23.385","24.755","21.945","941.11K","-2.78%"
"12/01/2021","23.060","22.945","23.480","21.410","741.99K","1.14%"
"11/01/2021","22.799","23.990","25.490","22.185","1.22M","-5.55%"
"10/01/2021","24.139","22.600","24.920","22.185","906.19K","9.49%"
"09/01/2021","22.047","23.935","24.945","21.410","887.49K","-8.10%"
"08/01/2021","23.991","25.570","26.090","22.835","1.05M","-7.01%"
"07/01/2021","25.799","26.250","26.700","24.515","894.60K","-1.51%"
"06/01/2021","26.194","28.070","28.445","25.580","1.31M","-6.30%"
"05/01/2021","27.955","25.990","28.900","26.160","1.13M","7.17%"
"04/01/2021","26.085","25.050","26.730","24.680","1.07M","6.24%"
"03/01/2021","24.552","26.700","26.985","23.740","1.24M","-11.32%"
"02/01/2021","27.685","28.860","29.150","25.935","1.42M","6.71%"
"01/01/2021","25.945","26.770","28.105","24.530","1.51M","-2.36%"
"12/01/2020","26.573","23.820","26.880","23.690","1.08M","17.67%"
"11/01/2020","22.583","23.710","24.600","22.230","1.33M","-3.52%"
"10/01/2020","23.408","23.355","24.905","22.865","1.23M","-0.37%"
"09/01/2020","23.494","28.750","28.155","21.820","1.60M","-17.65%"
"08/01/2020","28.530","24.480","28.230","23.665","3.28M","21.66%"
"07/01/2020","23.450","18.580","23.435","17.995","2.00M","25.82%"
"06/01/2020","18.637","18.740","18.685","17.125","1.21M","3.49%"
"05/01/2020","18.009","15.075","17.775","14.760","835.16K","20.28%"
"04/01/2020","14.973","14.175","15.810","14.175","838.34K","5.59%"
"03/01/2020","14.180","16.500","17.150","11.640","1.56M","-20.05%"
"02/01/2020","17.735","18.135","18.585","17.480","1.42M","-1.65%"
"01/01/2020","18.032","17.905","18.085","17.280","1.40M","0.17%"
"12/01/2019","18.001","17.025","18.100","16.595","1.09M","5.83%"
"11/01/2019","17.009","18.195","18.210","16.680","1.47M","-6.15%"
"10/01/2019","18.124","17.045","18.165","16.940","1.49M","6.62%"
"09/01/2019","16.998","18.585","19.510","16.980","1.89M","-6.98%"
"08/01/2019","18.274","16.040","18.760","16.040","1.85M","11.13%"
"07/01/2019","16.444","15.315","16.765","14.965","1.73M","7.52%"
"06/01/2019","15.294","14.680","15.535","14.665","1.67M","5.26%"
"05/01/2019","14.530","14.975","14.990","14.265","999.95K","-3.03%"
"04/01/2019","14.984","15.175","15.300","14.735","1.25M","-0.23%"
"03/01/2019","15.019","15.225","15.650","14.985","990.51K","-3.93%"
"02/01/2019","15.634","15.830","16.220","15.510","1.08M","-3.01%"
"01/01/2019","16.120","15.550","16.210","15.195","1.16M","5.64%"
"12/01/2018","15.260","14.400","15.260","14.390","881.26K","6.30%"
"11/01/2018","14.356","14.305","14.850","13.925","1.42M","0.22%"
"10/01/2018","14.324","14.725","14.950","14.255","1.45M","0.24%"
"09/01/2018","14.290","14.480","14.500","14.035","1.27M","-1.79%"
"08/01/2018","14.551","15.585","15.585","14.380","1.46M","-6.71%"
"07/01/2018","15.597","16.145","16.260","15.185","1.24M","-2.77%"
"06/01/2018","16.041","16.505","17.360","15.965","1.61M","-2.80%"
"05/01/2018","16.503","16.345","16.790","16.070","1.32M","0.62%"
"04/01/2018","16.401","16.700","17.385","16.225","1.68M","0.64%"
"03/01/2018","16.297","16.430","16.895","16.100","1.33M","-0.67%"
"02/01/2018","16.407","17.365","17.365","16.290","1.37M","-5.07%"
"01/01/2018","17.284","17.035","17.705","16.735","1.66M","2.13%"
"12/01/2017","16.923","16.370","16.930","15.630","998.11K","2.91%"
"11/01/2017","16.445","16.735","17.325","16.255","1.60M","-1.68%"
"10/01/2017","16.726","16.670","17.495","16.555","1.50M","-0.72%"
"09/01/2017","16.847","17.880","18.225","16.705","1.16M","-4.14%"
"08/01/2017","17.575","16.910","17.755","16.190","1.80M","4.09%"
"07/01/2017","16.884","16.635","16.965","15.145","1.37M","1.38%"
"06/01/2017","16.654","17.390","17.725","16.280","1.47M","-4.73%"
"05/01/2017","17.481","17.300","17.540","16.125","1.47M","0.42%"
"04/01/2017","17.408","18.265","18.725","17.355","1.31M","-4.38%"
"03/01/2017","18.206","18.360","18.510","16.825","1.12M","-1.42%"
"02/01/2017","18.469","17.570","18.540","17.360","1.07M","5.28%"
"01/01/2017","17.543","15.970","17.635","15.935","1.04M","9.72%"
"12/01/2016","15.989","16.430","17.250","15.695","87.26K","-2.83%"
"11/01/2016","16.454","17.945","19.035","16.210","11.36K","-7.74%"
"10/01/2016","17.835","19.260","19.385","17.115","1.09M","-7.18%"
"09/01/2016","19.214","18.905","20.100","18.730","126.75K","2.89%"
"08/01/2016","18.675","20.630","20.770","18.440","1.63K","-8.42%"
"07/01/2016","20.393","18.815","21.225","18.795","1.23M","9.50%"
"06/01/2016","18.623","16.025","18.900","15.980","149.26K","16.26%"
"05/01/2016","16.018","17.920","18.060","16.085","976.41K","-10.11%"
"04/01/2016","17.819","15.245","18.020","14.810","142.87K","15.09%"
"03/01/2016","15.483","14.915","16.170","14.745","1.01M","3.79%"
"02/01/2016","14.918","14.320","15.920","14.320","127.71K","4.65%"
"01/01/2016","14.255","13.815","14.585","13.730","780.44K","3.27%"
"12/01/2015","13.803","14.010","14.550","13.660","41.87K","-1.91%"
"11/01/2015","14.072","15.495","15.495","13.875","6.56K","-9.70%"
"10/01/2015","15.584","14.500","16.370","14.360","904.37K","7.34%"
"09/01/2015","14.518","14.580","15.220","14.300","70.52K","-0.43%"
"08/01/2015","14.581","14.755","15.545","13.980","0.58K","-1.25%"
"07/01/2015","14.765","15.615","15.900","14.330","796.93K","-5.24%"
"06/01/2015","15.581","16.785","17.185","15.435","112.79K","-6.82%"
"05/01/2015","16.721","16.145","17.775","15.895","740.48K","3.52%"
"04/01/2015","16.153","16.585","16.955","15.585","120.77K","-2.80%"
"03/01/2015","16.619","16.575","17.405","15.260","708.02K","0.37%"
"02/01/2015","16.558","17.245","17.495","16.100","71.09K","-3.89%"
"01/01/2015","17.228","15.730","18.505","15.510","776.29K","10.44%"
"12/01/2014","15.599","15.280","17.280","14.645","63.74K","0.33%"
"11/01/2014","15.547","15.830","16.700","15.110","6.76K","-3.59%"
"10/01/2014","16.126","16.975","17.820","15.820","777.54K","-5.46%"
"09/01/2014","17.057","19.205","19.225","16.850","93.49K","-12.32%"
"08/01/2014","19.454","20.415","20.415","19.335","0.88K","-4.79%"
"07/01/2014","20.432","21.070","21.630","20.350","806.56K","-2.96%"
"06/01/2014","21.056","18.850","21.250","18.700","100.10K","12.60%"
"05/01/2014","18.700","19.190","20.005","18.685","704.30K","-2.47%"
"04/01/2014","19.174","19.715","20.310","18.960","105.84K","-2.99%"
"03/01/2014","19.765","21.325","21.795","19.575","813.35K","-6.95%"
"02/01/2014","21.241","19.315","22.180","19.280","95.87K","10.99%"
"01/01/2014","19.138","19.440","20.670","19.310","729.30K","-1.20%"
"12/01/2013","19.370","19.715","20.440","18.720","73.01K","-3.23%"
"11/01/2013","20.016","21.860","22.055","19.670","7.61K","-8.53%"
"10/01/2013","21.882","21.700","23.060","20.495","771.23K","0.80%"
"09/01/2013","21.708","21.930","23.330","21.375","68.83K","-7.61%"
"08/01/2013","23.495","19.370","25.100","19.370","2.94K","19.61%"
"07/01/2013","19.643","19.500","20.595","18.665","757.01K","0.89%"
"06/01/2013","19.470","22.380","22.710","18.170","142.09K","-12.55%"
"05/01/2013","22.265","24.320","24.420","20.250","920.06K","-7.94%"
"04/01/2013","24.185","28.080","28.125","22.085","95.88K","-14.70%"
"03/01/2013","28.353","28.525","29.350","27.925","606.82K","-0.28%"
"02/01/2013","28.432","31.615","32.095","28.345","104.70K","-9.39%"
"01/01/2013","31.380","30.370","32.485","29.240","786.86K","3.81%"
"12/01/2012","30.227","33.680","33.785","29.660","39.13K","-9.10%"
"11/01/2012","33.254","32.280","34.290","30.810","4.11K","2.82%"
"10/01/2012","32.342","34.530","35.445","31.535","755.13K","-6.46%"
"09/01/2012","34.577","31.870","35.090","31.870","95.23K","10.06%"
"08/01/2012","31.417","27.205","31.205","27.205","47.66K","12.44%"
"07/01/2012","27.941","27.500","28.445","26.425","653.76K","1.19%"
"06/01/2012","27.612","27.680","29.800","26.105","122.27K","-0.62%"
"05/01/2012","27.785","30.980","31.365","26.730","840.02K","-10.42%"
"04/01/2012","31.016","32.395","33.215","29.990","76.17K","-4.60%"
"03/01/2012","32.513","34.645","35.705","31.090","911.74K","-6.15%"
"02/01/2012","34.642","33.920","37.580","32.800","189.33K","4.06%"
"01/01/2012","33.290","27.980","33.965","27.905","677.92K","19.25%"
"12/01/2011","27.915","33.155","33.300","26.145","62.68K","-14.83%"
"11/01/2011","32.777","34.100","35.320","30.765","8.83K","-4.63%"
"10/01/2011","34.370","29.935","35.570","28.435","790.01K","14.25%"
"09/01/2011","30.083","41.745","42.685","26.170","93.29K","-27.91%"
"08/01/2011","41.727","39.500","44.175","37.135","2.43K","4.02%"
"07/01/2011","40.114","34.745","41.465","33.470","1.13M","15.16%"
"06/01/2011","34.832","38.245","38.365","33.440","109.53K","-9.10%"
"05/01/2011","38.317","48.090","48.190","32.300","2.11M","-21.16%"
"04/01/2011","48.599","37.225","49.560","37.200","283.86K","28.23%"
"03/01/2011","37.900","33.900","38.180","33.565","1.44M","12.06%"
"02/01/2011","33.820","28.100","34.235","28.015","120.25K","20.02%"
"01/01/2011","28.179","30.930","31.275","26.540","1.17M","-8.91%"
"12/01/2010","30.937","28.195","30.975","28.100","45.60K","9.71%"
"11/01/2010","28.199","24.845","29.300","24.000","93.26K","14.70%"
"10/01/2010","24.585","21.770","24.950","21.725","1.09M","12.67%"
"09/01/2010","21.821","19.360","22.125","19.360","91.17K","12.38%"
"08/01/2010","19.418","18.025","19.315","17.785","18.20K","7.76%"
"07/01/2010","18.020","18.650","18.690","17.325","518.78K","-3.68%"
"06/01/2010","18.708","17.650","19.460","17.385","61.33K","1.45%"
"05/01/2010","18.440","18.685","19.845","17.080","772.18K","-1.07%"
"04/01/2010","18.639","17.950","18.790","17.510","72.49K","6.27%"
"03/01/2010","17.540","16.525","17.665","16.330","615.16K","6.17%"
"02/01/2010","16.521","16.210","16.790","14.695","79.34K","1.98%"
"01/01/2010","16.200","16.940","18.925","16.265","603.83K","-3.83%"
"12/01/2009","16.845","18.405","19.265","16.765","33.28K","-9.03%"
"11/01/2009","18.517","16.405","18.915","16.310","3.22K","13.85%"
"10/01/2009","16.265","16.665","18.175","15.920","647.63K","-2.36%"
"09/01/2009","16.658","15.230","17.425","15.230","54.57K","11.69%"
"08/01/2009","14.914","14.680","15.050","13.570","0.39K","6.83%"
"07/01/2009","13.960","13.610","14.095","12.435","372.87K","2.65%"
"06/01/2009","13.600","15.360","15.920","13.455","42.21K","-12.94%"
"05/01/2009","15.622","12.370","15.020","12.025","320.29K","26.75%"
"04/01/2009","12.325","12.565","13.210","11.795","43.83K","-5.19%"
"03/01/2009","12.999","13.100","13.885","11.890","344.35K","-0.85%"
"02/01/2009","13.110","13.145","14.585","12.825","64.08K","4.25%"
"01/01/2009","12.575","11.405","12.285","10.320","331.35K","11.33%"
"12/01/2008","11.295","9.370","11.450","9.215","17.60K","10.65%"
"11/01/2008","10.208","9.885","10.645","8.830","1.12K","4.88%"
"10/01/2008","9.733","12.135","13.080","8.400","514.27K","-20.71%"
"09/01/2008","12.275","12.475","13.560","10.300","56.74K","-10.21%"
"08/01/2008","13.671","17.185","17.200","12.510","0.43K","-23.37%"
"07/01/2008","17.841","17.505","19.550","17.045","581.82K","1.89%"
"06/01/2008","17.510","16.910","17.980","16.380","60.34K","3.53%"
"05/01/2008","16.913","16.920","18.375","16.055","464.26K","1.93%"
"04/01/2008","16.593","16.935","18.750","16.455","57.01K","-4.39%"
"03/01/2008","17.355","19.920","21.440","16.725","738.36K","-12.85%"
"02/01/2008","19.915","17.335","20.055","16.320","84.15K","16.87%"
"01/01/2008","17.041","14.910","16.905","14.910","588.48K","14.22%"
"12/01/2007","14.920","14.255","15.080","13.790","23.91K","5.84%"
"11/01/2007","14.097","14.270","16.070","14.225","1.38K","-2.74%"
"10/01/2007","14.494","13.935","14.590","13.150","477.81K","4.12%"
"09/01/2007","13.920","12.400","14.000","12.400","43.01K","14.45%"
"08/01/2007","12.162","13.230","13.255","11.325","0.16K","-6.96%"
"07/01/2007","13.072","12.510","13.590","12.420","328.50K","4.80%"
"06/01/2007","12.473","13.685","13.900","12.220","45.69K","-7.87%"
"05/01/2007","13.538","13.515","13.705","12.760","344.85K","-0.27%"
"04/01/2007","13.575","13.505","14.215","13.270","40.38K","0.48%"
"03/01/2007","13.510","14.240","14.465","12.490","398.20K","-5.09%"
"02/01/2007","14.235","13.735","14.860","13.730","68.62K","4.42%"
"01/01/2007","13.632","12.965","13.600","12.095","304.13K","5.39%"
"12/01/2006","12.935","13.750","13.750","12.415","10.85K","-7.95%"
"11/01/2006","14.052","12.365","14.000","12.365","19.51K","14.04%"
"10/01/2006","12.322","11.540","12.280","10.650","193.31K","6.78%"
"09/01/2006","11.540","11.730","11.860","11.320","17.66K","-11.24%"
"08/01/2006","13.002","12.400","12.680","11.970","22.44K","14.15%"
"07/01/2006","11.390","10.990","11.820","10.465","220.07K","4.30%"
"06/01/2006","10.920","10.240","11.130","10.215","20.39K","-12.67%"
"05/01/2006","12.505","13.780","15.200","11.880","413.51K","-8.25%"
"04/01/2006","13.630","13.000","14.550","12.300","67.57K","17.91%"
"03/01/2006","11.560","9.800","11.800","9.670","420.48K","17.90%"
"02/01/2006","9.805","9.540","9.845","9.200","41.86K","-1.11%"
"01/01/2006","9.915","8.895","9.870","8.760","413.66K","11.53%"
"12/01/2005","8.890","8.370","9.030","8.370","23.24K","6.47%"
"11/01/2005","8.350","7.500","8.475","7.500","28.78K","9.90%"
"10/01/2005","7.598","7.480","7.955","7.360","345.32K","1.14%"
"09/01/2005","7.512","7.410","7.645","7.390","56.10K","9.90%"
"08/01/2005","6.835","6.800","6.825","6.705","32.96K","-6.32%"
"07/01/2005","7.296","6.955","7.300","6.850","240.74K","3.12%"
"06/01/2005","7.075","7.520","7.540","7.035","55.50K","-5.31%"
"05/01/2005","7.472","6.970","7.360","6.810","293.06K","7.67%"
"04/01/2005","6.940","7.210","7.210","6.900","67.84K","-3.74%"
"03/01/2005","7.210","7.390","7.680","6.830","299.87K","-2.50%"
"02/01/2005","7.395","6.635","7.495","6.635","41.94K","9.36%"
"01/01/2005","6.762","6.840","6.890","6.350","218.21K","-1.10%"
"12/01/2004","6.837","6.720","7.060","6.720","19.36K","-11.87%"
"11/01/2004","7.758","7.480","7.855","7.460","33.81K","5.98%"
"10/01/2004","7.320","6.955","7.530","6.720","305.07K","5.51%"
"09/01/2004","6.938","6.610","6.980","6.570","47.25K","2.03%"
"08/01/2004","6.800","6.580","6.865","6.580","20.27K","3.42%"
"07/01/2004","6.575","5.830","6.780","5.820","253.68K","13.46%"
"06/01/2004","5.795","5.945","6.015","5.810","39.87K","-5.28%"
"05/01/2004","6.118","6.165","6.220","5.455","240.66K","0.64%"
"04/01/2004","6.079","8.320","8.320","5.935","0.13K","-23.53%"
"03/01/2004","7.950","6.715","7.810","6.555","328.96K","18.39%"
"02/01/2004","6.715","6.480","6.790","6.310","53.24K","7.34%"
"01/01/2004","6.256","5.995","6.795","5.995","306.62K","4.88%"
"12/01/2003","5.965","5.935","6.050","5.920","9.72K","11.02%"
"11/01/2003","5.373","4.970","5.410","4.970","0.02K","6.02%"
"10/01/2003","5.068","5.155","5.220","4.745","307.38K","-1.44%"
"09/01/2003","5.142","5.275","5.275","5.070","34.45K","0.39%"
"08/01/2003","5.122","5.150","5.165","5.090","16.24K","-0.02%"
"07/01/2003","5.123","4.690","5.230","4.630","275.26K","12.25%"
"06/01/2003","4.564","4.620","4.620","4.620","0.00K","0.55%"
"05/01/2003","4.539","4.660","4.910","4.560","203.36K","-2.43%"
"04/01/2003","4.652","4.590","4.670","4.560","23.32K","3.96%"
"03/01/2003","4.475","4.600","4.710","4.340","182.62K","-2.55%"
"02/01/2003","4.592","4.730","4.730","4.505","0.01K","-5.63%"
"01/01/2003","4.866","4.790","4.950","4.720","229.18K","1.12%"
"12/01/2002","4.812","4.730","4.820","4.650","25.64K","8.70%"
"11/01/2002","4.427","4.585","4.585","4.470","0.01K","-1.93%"
"10/01/2002","4.514","4.550","4.555","4.280","166.56K","-0.75%"
"09/01/2002","4.548","4.460","4.585","4.460","5.88K","2.16%"
"08/01/2002","4.452","4.525","4.585","4.520","9.04K","-3.47%"
"07/01/2002","4.612","4.855","5.155","4.595","231.54K","-5.01%"
"06/01/2002","4.855","5.410","5.410","4.825","21.80K","-3.90%"
"05/01/2002","5.052","4.560","5.010","4.520","188.68K","10.91%"
"04/01/2002","4.555","4.750","4.750","4.400","25.28K","-2.17%"
"03/01/2002","4.656","4.515","4.690","4.450","135.93K","3.08%"
"02/01/2002","4.517","4.440","4.520","4.415","23.25K","6.78%"
"01/01/2002","4.230","4.575","4.775","4.225","212.25K","-7.80%"
"12/01/2001","4.588","4.155","4.635","4.145","30.66K","10.37%"
"11/01/2001","4.157","4.105","4.195","4.030","22.04K","-1.93%"
"10/01/2001","4.239","4.665","4.730","4.185","169.38K","-9.33%"
"09/01/2001","4.675","4.615","4.680","4.560","19.24K","11.50%"
"08/01/2001","4.193","4.125","4.255","4.120","14.34K","-1.18%"
"07/01/2001","4.243","4.330","4.340","4.190","91.76K","-1.94%"
"06/01/2001","4.327","4.350","4.360","4.315","19.47K","-2.28%"
"05/01/2001","4.428","4.365","4.690","4.315","167.97K","1.61%"
"04/01/2001","4.358","4.415","4.440","4.350","20.52K","1.00%"
"03/01/2001","4.315","4.520","4.555","4.290","124.30K","-4.43%"
"02/01/2001","4.515","4.505","4.580","4.445","26.84K","-7.06%"
"01/01/2001","4.858","4.640","4.910","4.535","145.16K","4.81%"
"12/01/2000","4.635","4.645","4.650","4.605","6.49K","-2.07%"
"11/01/2000","4.733","4.770","4.785","4.650","29.27K","-1.31%"
"10/01/2000","4.796","4.955","4.985","4.730","125.07K","-3.07%"
"09/01/2000","4.948","5.020","5.025","4.915","18.45K","-1.47%"
"08/01/2000","5.022","5.000","5.015","4.965","19.18K","-1.36%"
"07/01/2000","5.091","5.055","5.100","4.950","146.45K","0.16%"
"06/01/2000","5.083","5.065","5.120","5.000","40.70K","1.93%"
"05/01/2000","4.987","5.025","5.190","4.920","186.71K","-0.56%"
"04/01/2000","5.015","5.060","5.060","4.975","24.60K","-0.93%"
"03/01/2000","5.062","5.125","5.210","4.965","186.14K","-0.90%"
"02/01/2000","5.108","5.110","5.150","5.090","32.52K","-4.00%"
"01/01/2000","5.321","5.420","5.470","5.125","204.63K","-2.42%"
"12/01/1999","5.453","5.240","5.470","5.235","40.38K","4.14%"
"11/01/1999","5.236","5.130","5.255","5.100","15.20K","1.14%"
"10/01/1999","5.177","5.610","5.765","5.150","259.08K","-7.80%"
"09/01/1999","5.615","5.770","5.805","5.550","42.67K","8.23%"
"08/01/1999","5.188","5.150","5.175","5.095","14.39K","-5.50%"
"07/01/1999","5.490","5.300","5.480","5.025","197.62K","3.84%"
"06/01/1999","5.287","5.000","5.305","4.953","38.65K","7.68%"
"05/01/1999","4.910","5.425","5.580","4.910","211.83K","-9.58%"
"04/01/1999","5.430","4.910","5.485","4.910","59.48K","8.99%"
"03/01/1999","4.982","5.625","5.660","4.955","282.12K","-11.51%"
"02/01/1999","5.630","5.400","5.640","5.380","41.62K","7.20%"
"01/01/1999","5.252","5.030","5.410","4.860","232.85K","4.62%"
"12/01/1998","5.020","5.030","5.095","4.995","14.54K","3.19%"
"11/01/1998","4.865","4.980","5.045","4.900","19.32K","-3.93%"
"10/01/1998","5.064","5.360","5.475","4.765","222.56K","-5.52%"
"09/01/1998","5.360","4.770","5.400","4.770","40.04K","15.07%"
"08/01/1998","4.658","5.420","5.445","4.685","33.73K","-14.89%"
"07/01/1998","5.473","5.530","5.885","5.235","223.23K","-1.12%"
"06/01/1998","5.535","5.069","5.585","5.069","39.59K","8.55%"
"05/01/1998","5.099","6.230","6.330","5.060","249.79K","-18.15%"
"04/01/1998","6.230","6.310","6.340","6.080","32.04K","-3.65%"
"03/01/1998","6.466","6.485","6.600","5.570","308.21K","-0.22%"
"02/01/1998","6.480","7.000","7.170","6.020","41.18K","5.80%"
"01/01/1998","6.125","5.950","6.190","5.385","275.94K","2.29%"
"12/01/1997","5.988","6.065","6.330","5.800","38.50K","13.56%"
"11/01/1997","5.273","4.820","5.500","4.820","25.47K","10.92%"
"10/01/1997","4.754","5.230","5.320","4.630","338.43K","-9.14%"
"09/01/1997","5.232","4.653","5.330","4.596","85.68K","11.89%"
"08/01/1997","4.676","4.539","4.860","4.527","31.72K","3.29%"
"07/01/1997","4.527","4.655","4.710","4.145","263.82K","-2.60%"
"06/01/1997","4.648","4.763","4.835","4.630","45.11K","-1.06%"
"05/01/1997","4.698","4.700","4.930","4.625","203.06K","0.11%"
"04/01/1997","4.693","5.080","5.080","4.645","35.67K","-7.98%"
"03/01/1997","5.100","5.345","5.435","5.100","292.79K","-4.85%"
"02/01/1997","5.360","4.900","5.395","4.890","47.52K","8.44%"
"01/01/1997","4.943","4.785","5.060","4.610","328.27K","3.19%"
"12/01/1996","4.790","4.790","4.920","4.710","37.63K","0.63%"
"11/01/1996","4.760","4.760","4.760","4.760","","-1.41%"
"10/01/1996","4.828","4.880","5.095","4.810","270.45K","-1.00%"
"09/01/1996","4.877","4.880","4.955","4.855","24.64K","-7.10%"
"08/01/1996","5.250","5.255","5.270","5.180","33.21K","1.49%"
"07/01/1996","5.173","5.045","5.200","4.930","249.28K","2.74%"
"06/01/1996","5.035","5.115","5.170","5.010","51.60K","-7.27%"
"05/01/1996","5.430","5.355","5.550","5.260","278.80K","1.69%"
"04/01/1996","5.340","5.560","5.560","5.250","40.22K","-4.01%"
"03/01/1996","5.563","5.555","5.740","5.360","286.63K","0.32%"
"02/01/1996","5.545","5.480","5.600","5.470","41.73K","-1.18%"
"01/01/1996","5.611","5.200","5.700","5.180","354.56K","7.76%"
"12/01/1995","5.207","5.180","5.220","5.125","17.50K","-0.82%"
"11/01/1995","5.250","5.380","5.450","5.180","26.55K","-2.36%"
"10/01/1995","5.377","5.480","5.510","5.260","233.69K","-1.97%"
"09/01/1995","5.485","5.321","5.545","5.231","24.93K","2.31%"
"08/01/1995","5.361","5.185","5.811","5.140","37.48K","5.59%"
"07/01/1995","5.077","5.080","5.460","5.025","230.81K","0.24%"
"06/01/1995","5.065","5.393","5.540","5.020","55.06K","-5.11%"
"05/01/1995","5.338","5.800","6.210","5.120","410.39K","-7.69%"
"04/01/1995","5.783","5.440","5.980","5.370","42.85K","8.38%"
"03/01/1995","5.336","4.485","5.400","4.340","365.65K","16.89%"
"02/01/1995","4.565","4.830","4.830","4.480","55.86K","-2.64%"
"01/01/1995","4.689","4.865","4.965","4.610","312.58K","-4.64%"
"12/01/1994","4.917","4.750","4.970","4.710","23.69K","-0.53%"
"11/01/1994","4.943","5.310","5.355","5.110","38.59K","-6.52%"
"10/01/1994","5.288","5.580","5.735","5.290","363.57K","-6.52%"
"09/01/1994","5.657","5.660","5.710","5.600","32.19K","3.10%"
"08/01/1994","5.487","5.165","5.480","5.095","23.10K","2.45%"
"07/01/1994","5.356","5.390","5.515","5.150","281.84K","-1.27%"
"06/01/1994","5.425","5.430","5.580","5.265","49.64K","-2.76%"
"05/01/1994","5.579","5.370","5.800","5.100","418.53K","3.64%"
"04/01/1994","5.383","5.680","5.680","5.119","55.12K","-7.27%"
"03/01/1994","5.805","5.360","5.810","5.180","382.93K","7.70%"
"02/01/1994","5.390","5.300","5.395","5.184","45.47K","4.72%"
"01/01/1994","5.147","5.135","5.410","4.890","392.58K","0.59%"
"12/01/1993","5.117","4.675","5.170","4.650","10.60K","14.99%"
"11/01/1993","4.450","4.300","4.720","4.250","56.94K","1.62%"
"10/01/1993","4.379","4.070","4.600","4.020","289.33K","7.28%"
"09/01/1993","4.082","4.520","4.557","3.985","28.40K","-16.25%"
"08/01/1993","4.874","5.470","5.470","4.680","20.90K","-6.90%"
"07/01/1993","5.235","4.570","5.290","4.550","356.12K","14.13%"
"06/01/1993","4.587","4.410","4.640","4.270","39.33K","-1.10%"
